industry_code,Variable
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
